source,target
C00009877,SENP6
C00009877,UBE2I
C00008193,APP
C00008193,JAK2
C00008193,NRP1
C00008193,GLP1R
C00008193,GNAS
C00008193,UBA2
C00008193,PADI4
C00008193,PTPN22
C00008193,EPAS1
C00008193,UBE2I
C00008193,PTPN1
C00008193,RAPGEF3
C00008193,STAT1
C00008193,EIF2AK3
C00008193,OXTR
C00008193,PRKACB
C00008193,GAPDH
C00008193,ALPL
C00008193,GPR35
C00008193,IL1B
C00008193,AVPR1A
C00008193,PABPC1
C00008193,PPARG
C00008193,NCOA2
C00008193,GNAI1
C00008193,RAPGEF4
C00008193,SENP6
C00008193,TP53
C00008193,MAPK1
C00008193,MAP3K3
C00008193,NCOA1
C00008193,NFKB1
C00008193,HDAC3
C00008193,AKT1
C00008193,SIRT1
C00008193,CAT
C00008193,SOD2
C00008193,KLC1
C00008193,TRPC3
C00010868,JUN
C00010868,ATF6
C00010868,TP53
C00010868,PRMT6
C00010868,HMGA2
C00010868,IVL
C00010868,NKX2-5
C00000218,GNAI1
C00000218,NR3C1
C00000218,GAPDH
C00000218,MAPK1
C00000218,HDAC1
C00000218,CTBP1
C00000218,TLE1
C00000218,TLE4
C00000218,TLE2
C00009777,RAPGEF4
C00009777,OXTR
C00009777,SENP6
C00009777,EPAS1
C00009777,NRP1
C00009777,GLP1R
C00009777,GNAS
C00009777,IL1B
C00009777,RAPGEF3
C00009777,MAP3K3
C00009777,NCOA1
C00009777,AVPR1A
C00009777,PABPC1
C00009777,HDAC3
C00009777,AKT1
C00009777,PADI4
C00009777,SENP1
C00009777,UBE2I
C00009777,PRSS58
C00009777,FTH1
C00025214,GAPDH
C00025214,IL2RG
C00025214,IL2RB
C00025214,IL2RA
C00025214,EPAS1
C00025214,KITLG
C00006381,PTPN1
C00006381,SIRT1
C00006381,SOD2
C00006381,CAT
C00006381,KLC1
C00006381,TRPC3
C00024634,LCK
C00024634,APP
C00024634,JAK2
C00024634,GLP1R
C00024634,ZAP70
C00024634,CDK1
C00024634,MYC
C00024634,NR3C1
C00024634,PRKACA
C00024634,SRC
C00024634,IGF1R
C00024634,FLT1
C00024634,MAPK14
C00024634,PRKCA
C00024634,INSR
C00024634,EGFR
C00024634,BLK
C00024634,GCK
C00024634,CSK
C00024634,KDR
C00024634,FYN
C00024634,RPS6KB1
C00024634,AKT2
C00024634,GAPDH
C00024634,MAPK9
C00024634,STAT3
C00024634,CAMK2G
C00024634,GNAI1
C00024634,MAPK11
C00024634,MAP2K7
C00024634,GCKR
C00024634,HIPK2
C00024634,MTOR
C00024634,MAPK1
C00024634,NFKB1
C00024634,MAPK8
C00024634,AKT1
C00024634,CSNK2A1
C00024634,IL2RG
C00024634,IL2RB
C00024634,IL2RA
C00024634,TNFRSF18
C00024634,CD80
C00007619,LCK
C00007619,NRP1
C00007619,GLP1R
C00007619,GNAS
C00007619,ATF6
C00007619,NR3C1
C00007619,PADI4
C00007619,SRC
C00007619,FLT1
C00007619,TNF
C00007619,MAPK14
C00007619,PRKCA
C00007619,EPAS1
C00007619,EGFR
C00007619,CCR5
C00007619,RAPGEF3
C00007619,FTO
C00007619,ADRA2A
C00007619,MAOA
C00007619,HNF4A
C00007619,FYN
C00007619,CALCR
C00007619,OXTR
C00007619,PRKACB
C00007619,MMP9
C00007619,PPARA
C00007619,IL1B
C00007619,AVPR1A
C00007619,PABPC1
C00007619,NCOA2
C00007619,BDKRB2
C00007619,GNAI1
C00007619,RAPGEF4
C00007619,SENP6
C00007619,TP53
C00007619,MAPK1
C00007619,MAP3K3
C00007619,NCOA1
C00007619,NFKB1
C00007619,HDAC3
C00007619,JUN
C00007619,AKT1
C00007619,HDAC1
C00007619,JUP
C00007619,CTBP1
C00007619,TLE1
C00007619,TLE4
C00001029,APP
C00001029,NRP1
C00001029,JAK2
C00001029,GLP1R
C00001029,GNAS
C00001029,UBA2
C00001029,PADI4
C00001029,CTNNB1
C00001029,PTPN22
C00001029,EPAS1
